"gene","logFC","AveExpr","t","pvalue","padj"
"SAMD11",0.1794,9.0963,0.9039,0.3661,0.5406
"NOC2L",-0.1182,11.3632,-0.6496,0.516,0.6741
"KLHL17",0.1228,8.121,0.4847,0.6279,0.7616
"PLEKHN1",0.0119,7.5343,0.0306,0.9756,0.9867
"PERM1",-0.2485,6.9208,-0.6363,0.5246,0.6814
"HES4",0.3539,7.8353,0.8955,0.3705,0.5452
"ISG15",0.11,10.7625,0.243,0.808,0.8881
"AGRN",-0.329,13.6625,-0.9725,0.3308,0.5063
"RNF223",1.1923,6.9734,2.4769,0.01325,0.05126
"C1orf159",-0.2145,8.7167,-1.0961,0.273,0.4467
"TTLL10",0.5728,6.9214,0.9005,0.3679,0.5426
"TNFRSF18",-2.4483,7.9908,-5.2745,1.331e-07,4.619e-06
"TNFRSF4",-0.479,7.6841,-1.3019,0.1929,0.355
"SDF4",-0.318,12.2835,-1.8648,0.06221,0.1589
"B3GALT6",-0.2007,9.6546,-1.125,0.2606,0.4323
"C1QTNF12",-2.2993,6.7989,-4.4843,7.316e-06,0.0001388
"UBE2J2",-0.0277,10.5257,-0.215,0.8298,0.9018
"SCNN1D",0.3047,7.2164,0.8386,0.4017,0.5739
"ACAP3",0.071,10.1222,0.282,0.7779,0.8679
"PUSL1",0.1736,8.8901,0.9594,0.3374,0.5119
"INTS11",-0.0888,11.373,-0.5929,0.5533,0.7039
"CPTP",-0.1295,9.9626,-0.6272,0.5305,0.6861
"TAS1R3",0.3495,7.2772,0.8203,0.4121,0.5831
"DVL1",0.4525,11.0208,1.81,0.07029,0.1734
"MXRA8",0.4336,10.892,1.4177,0.1563,0.306
"AURKAIP1",0.2776,10.824,1.5469,0.1219,0.258
"CCNL2",0.1214,11.4078,0.4462,0.6554,0.7824
"MRPL20",0.2694,10.9592,2.0969,0.036,0.1076
"ANKRD65",0.1831,9.5826,0.4571,0.6476,0.7768
"VWA1",0.524,11.4827,1.9197,0.0549,0.1455
"ATAD3C",0.9116,8.2405,2.8121,0.004922,0.02402
"ATAD3B",0.2737,9.4615,0.9806,0.3268,0.5026
"ATAD3A",-0.039,10.0802,-0.1962,0.8445,0.9111
"TMEM240",-0.0886,6.5321,-0.2768,0.782,0.8707
"SSU72",0.1239,11.9448,0.9519,0.3411,0.5158
"FNDC10",-0.4458,8.4573,-1.0906,0.2754,0.449
"MIB2",-0.4241,9.8227,-1.8379,0.06608,0.1656
"MMP23B",0.6003,7.1413,1.746,0.08082,0.1916
"CDK11B",0.0162,10.7014,0.1114,0.9113,0.9514
"SLC35E2B",0.1178,11.109,0.614,0.5392,0.6925
"CDK11A",0.0719,10.0592,0.3825,0.7021,0.8152
"SLC35E2",0.4426,8.2187,2.1563,0.03106,0.09663
"NADK",0.6821,11.4876,3.9073,9.335e-05,0.0011
"GNB1",-0.0468,13.81,-0.2869,0.7742,0.8656
"TMEM52",-0.5633,6.9722,-1.5669,0.1171,0.2507
"CFAP74",1.4263,7.077,2.0628,0.03913,0.1144
"GABRD",-0.3053,6.9414,-0.8957,0.3704,0.5452
"PRKCZ",0.3383,10.8188,1.4831,0.138,0.2802
"FAAP20",0.1466,10.7501,0.9444,0.345,0.5197
"SKI",-0.327,11.8619,-1.7155,0.08625,0.2014
"MORN1",0.5817,8.1797,2.0681,0.03863,0.1135
"RER1",0.2902,12.0966,1.9734,0.04845,0.133
"PEX10",0.1679,10.8064,1.2703,0.204,0.3681
"PLCH2",-3.2827,8.2552,-6.4924,8.448e-11,8.163e-09
"PANK4",-0.0376,9.6481,-0.3183,0.7502,0.849
"TNFRSF14",0.0217,10.885,0.079,0.937,0.9649
"FAM213B",-0.3307,10.2773,-1.3787,0.168,0.3222
"MMEL1",-0.2241,8.4535,-0.8752,0.3815,0.5557
"TTC34",0.1488,6.7409,0.3157,0.7522,0.8505
"PRDM16",1.7293,8.3022,3.5616,0.0003686,0.003316
"ARHGEF16",0.2813,9.9077,1.0042,0.3153,0.4908
"MEGF6",-0.1316,10.5005,-0.4161,0.6773,0.7975
"TPRG1L",-0.3465,11.3457,-2.0352,0.04183,0.1198
"WRAP73",-0.2091,9.71,-1.3952,0.1629,0.3151
"TP73",-2.5846,8.7291,-4.9162,8.825e-07,2.343e-05
"CCDC27",0.578,6.8008,2.8558,0.004293,0.0217
"SMIM1",1.7928,7.1123,6.0414,1.528e-09,9.882e-08
"LRRC47",-0.1734,10.948,-1.5063,0.132,0.2721
"CEP104",0.0276,10.3783,0.2032,0.839,0.9077
"DFFB",0.0897,8.063,0.4542,0.6497,0.7785
"C1orf174",-0.0081,9.6994,-0.0513,0.9591,0.9776
"AJAP1",-0.9773,6.9801,-2.1553,0.03114,0.09681
"NPHP4",0.3858,9.2694,1.9409,0.05228,0.1404
"KCNAB2",0.0317,10.2469,0.1158,0.9078,0.9494
"CHD5",-0.346,6.2943,-0.5897,0.5554,0.7055
"RPL22",0.1889,12.9872,1.029,0.3035,0.4782
"RNF207",-0.3157,8.7172,-1.0099,0.3126,0.4877
"ICMT",0.0107,11.8711,0.0691,0.9449,0.9694
"GPR153",-0.2729,9.8389,-0.7651,0.4442,0.6126
"ACOT7",-1.0077,10.2199,-4.4261,9.594e-06,0.0001731
"HES2",-2.1873,8.1799,-3.8368,0.0001246,0.001389
"ESPN",-1.692,8.394,-3.321,0.0008971,0.006638
"TNFRSF25",-0.6329,8.538,-1.5631,0.118,0.252
"PLEKHG5",-0.6853,9.505,-2.1274,0.03339,0.1019
"NOL9",-0.1448,9.9288,-0.8768,0.3806,0.5549
"ZBTB48",-0.0694,9.5166,-0.4282,0.6685,0.7912
"KLHL21",-0.9912,10.7848,-4.0153,5.937e-05,0.0007538
"PHF13",-0.5572,10.0184,-3.0321,0.002429,0.01429
"THAP3",-0.0152,10.2292,-0.1185,0.9057,0.9482
"DNAJC11",-0.1246,10.813,-0.9047,0.3656,0.5403
"CAMTA1",-0.0882,9.9976,-0.5442,0.5863,0.7305
"VAMP3",0.2604,11.9993,1.7648,0.07759,0.186
"PER3",0.5002,10.1364,1.3521,0.1763,0.3328
"UTS2",0.544,8.1072,1.4775,0.1395,0.2821
"TNFRSF9",-1.5108,7.6338,-3.3013,0.0009625,0.006998
"PARK7",0.322,12.2566,1.9316,0.05341,0.1427
"ERRFI1",1.5353,12.3693,3.5349,0.000408,0.003588
"SLC45A1",0.3789,7.1234,1.0173,0.309,0.4838
"RERE",-0.0078,12.1069,-0.0352,0.972,0.9848
"ENO1",0.0722,15.4899,0.4041,0.6861,0.8031
"SLC2A5",-0.3668,8.0269,-0.8209,0.4117,0.5829
"GPR157",-0.0676,9.7105,-0.1699,0.8651,0.9235
"H6PD",-0.0039,12.0319,-0.0165,0.9868,0.993
"SPSB1",-0.372,10.6335,-1.5627,0.1181,0.2521
"SLC25A33",-0.1055,8.4682,-0.4788,0.6321,0.765
"TMEM201",-0.7728,9.4814,-3.4169,0.0006334,0.00502
"PIK3CD",-0.7796,10.1091,-3.1211,0.001802,0.0113
"CLSTN1",-1.226,13.167,-4.4967,6.903e-06,0.0001317
"CTNNBIP1",-0.4354,10.8864,-1.8868,0.05919,0.1535
"LZIC",0.1352,9.7705,0.9718,0.3311,0.5064
"NMNAT1",0.2016,8.5736,0.8985,0.3689,0.5436
"RBP7",-0.5949,7.5416,-1.5031,0.1328,0.2731
"UBE4B",-0.3681,11.1241,-2.2018,0.02768,0.0886
"KIF1B",0.1442,11.3624,0.7235,0.4694,0.6342
"PGD",-0.2355,13.0478,-0.5883,0.5563,0.7062
"CENPS",0.3315,8.9406,2.0663,0.0388,0.1137
"CORT",0.0043,6.5131,0.0189,0.9849,0.9918
"APITD1-CORT",0.316,8.7693,1.9374,0.05269,0.1412
"DFFA",-0.0599,10.8014,-0.4931,0.6219,0.7573
"PEX14",-0.0452,9.8307,-0.3205,0.7486,0.848
"CASZ1",-0.5623,10.386,-2.2743,0.02295,0.07706
"C1orf127",0.5338,6.5284,1.6517,0.0986,0.2221
"TARDBP",-0.2897,12.2829,-2.9069,0.00365,0.01934
"RP4-635E18.9",-0.2077,10.8955,-2.1712,0.02991,0.09388
"MASP2",0.2058,6.8812,0.661,0.5086,0.6685
"SRM",-0.1344,10.6446,-0.6015,0.5475,0.6992
"EXOSC10",0.1349,11.1298,1.0128,0.3112,0.4861
"ANGPTL7",0.3439,6.5276,0.6359,0.5249,0.6816
"MTOR",0.0514,11.3121,0.3264,0.7441,0.8454
"UBIAD1",0.0822,9.7005,0.648,0.517,0.675
"DISP3",1.1752,6.4693,2.1174,0.03423,0.1036
"FBXO2",-0.2605,9.0082,-0.5975,0.5502,0.7017
"FBXO44",0.1144,9.4094,0.6313,0.5278,0.6843
"FBXO6",0.277,9.5165,0.8924,0.3722,0.5468
"MAD2L2",-0.126,9.8404,-0.5747,0.5655,0.7139
"DRAXIN",-1.2165,6.7254,-2.933,0.003357,0.01823
"AGTRAP",0.1608,10.9107,0.5153,0.6064,0.745
"C1orf167",1.0425,8.6028,4.3124,1.615e-05,0.0002642
"MTHFR",0.856,10.5304,4.1461,3.381e-05,0.0004746
"CLCN6",-0.0131,9.6066,-0.0627,0.95,0.9723
"NPPA",0.4102,6.3925,0.9941,0.3202,0.4958
"KIAA2013",-0.1124,11.2932,-0.9209,0.3571,0.5317
"PLOD1",-1.1124,12.4137,-4.4676,7.911e-06,0.0001482
"MFN2",-0.2899,12.154,-1.981,0.04759,0.1316
"MIIP",0.1218,9.7859,0.7035,0.4818,0.6452
"TNFRSF8",-2.0782,7.3086,-4.1682,3.071e-05,0.0004422
"TNFRSF1B",-0.2465,10.984,-0.7971,0.4254,0.5961
"VPS13D",0.0568,11.4918,0.2592,0.7955,0.8787
"DHRS3",-0.0868,11.8529,-0.2509,0.8019,0.8835
"C1orf158",2.6134,6.5501,2.9008,0.003722,0.01962
"HNRNPCL1",0.1844,6.5001,0.6754,0.4994,0.6603
"PDPN",-1.9479,10.7712,-5.2283,1.71e-07,5.743e-06
"PRDM2",-0.307,10.9111,-1.9894,0.04666,0.1297
"KAZN",-0.9814,9.6228,-3.4878,0.0004871,0.004133
"TMEM51",-0.2945,9.7311,-1.3776,0.1683,0.3227
"FHAD1",-0.0337,8.0143,-0.0596,0.9525,0.9731
"EFHD2",-0.8679,11.9631,-3.2948,0.000985,0.007111
"CELA2B",0.4082,6.3032,0.9386,0.3479,0.5232
"CASP9",0.1887,9.5798,0.6198,0.5354,0.6899
"AGMAT",0.1698,7.1717,0.4828,0.6292,0.7627
"DNAJC16",0.0657,10.0333,0.5164,0.6056,0.7445
"RSC1A1",-0.0195,8.8245,-0.1025,0.9183,0.9551
"DDI2",0.0151,11.032,0.0831,0.9337,0.9634
"PLEKHM2",-0.3698,11.4759,-2.3734,0.01762,0.06342
"SLC25A34",-0.416,6.7726,-1.2084,0.2269,0.3949
"FBLIM1",-0.1368,10.8655,-0.5601,0.5754,0.7219
"UQCRHL",0.1857,9.5487,0.7805,0.4351,0.6049
"SPEN",-0.3995,11.7018,-2.0152,0.04388,0.1242
"ZBTB17",-0.1066,9.7825,-0.5879,0.5566,0.7065
"HSPB7",1.1108,8.0145,3.4385,0.0005849,0.004726
"CLCNKA",0.941,6.4564,1.9406,0.0523,0.1405
"CLCNKB",1.7085,6.6546,4.3563,1.323e-05,0.0002227
"FAM131C",-1.0387,6.4867,-1.9656,0.04935,0.1348
"EPHA2",-0.1552,11.2742,-0.3845,0.7006,0.8141
"ARHGEF19",-0.5955,9.9088,-1.8213,0.06856,0.1703
"RSG1",0.4948,7.5674,2.3788,0.01737,0.06273
"FBXO42",-0.0337,10.1748,-0.2467,0.8052,0.886
"SZRD1",-0.1125,12.3401,-0.818,0.4134,0.5845
"SPATA21",-0.1528,10.4288,-1.0925,0.2746,0.4481
"NECAP2",0.0142,11.5112,0.0664,0.947,0.9708
"NBPF1",0.2067,9.682,0.7805,0.4351,0.6049
"CROCC",-0.6407,9.7461,-2.0357,0.04178,0.1197
"MFAP2",-0.9739,9.8285,-3.3428,0.0008295,0.006255
"ATP13A2",-0.1284,10.8386,-0.6241,0.5326,0.6877
"SDHB",0.3074,11.0789,1.837,0.06621,0.1658
"PADI2",-1.031,8.7167,-2.3609,0.01823,0.06506
"PADI1",-3.9804,6.6885,-4.9741,6.556e-07,1.816e-05
"PADI3",-4.071,6.8766,-4.31,1.633e-05,0.0002665
"PADI4",0.0955,6.3512,0.1691,0.8657,0.9238
"RCC2",-0.7825,12.5157,-4.2512,2.126e-05,0.0003263
"ARHGEF10L",0.4463,10.2771,2.3161,0.02055,0.07115
"IGSF21",-0.1947,7.0747,-0.4685,0.6394,0.7704
"KLHDC7A",3.8683,7.8016,7.5908,3.179e-14,8.522e-12
"ALDH4A1",-0.9216,9.5822,-3.5685,0.0003591,0.003249
"RP13-279N23.2",-0.761,9.0334,-2.7427,0.006094,0.02835
"IFFO2",-0.7853,9.9257,-2.317,0.0205,0.07106
"UBR4",0.0266,12.4842,0.1566,0.8755,0.93
"EMC1",-0.4486,11.5556,-2.7182,0.006563,0.02996
"MRTO4",-0.1562,10.2386,-0.9788,0.3277,0.5032
"AKR7A3",3.7278,7.1268,7.5111,5.865e-14,1.477e-11
"AKR7A2",0.251,10.4486,1.5688,0.1167,0.2501
"PQLC2",-0.1147,9.2065,-0.7213,0.4707,0.6355
"CAPZB",-0.2999,12.8336,-2.1219,0.03385,0.1029
"MINOS1",0.3143,10.5043,1.9342,0.05308,0.142
"MINOS1-NBL1",-0.0678,12.5692,-0.2613,0.7938,0.878
"NBL1",-0.2149,12.6605,-0.6874,0.4918,0.6541
"TMCO4",0.6208,9.8709,3.5136,0.0004421,0.003815
"OTUD3",-0.0227,9.0191,-0.0832,0.9337,0.9634
"PLA2G2A",-0.3927,7.76,-0.5916,0.5541,0.7045
"PLA2G5",-0.0132,7.3144,-0.0332,0.9735,0.9857
"PLA2G2D",0.0602,7.7374,0.0941,0.925,0.9586
"UBXN10",2.8424,8.7164,5.0185,5.207e-07,1.5e-05
"CAMK2N1",0.5907,10.055,1.3923,0.1638,0.3165
"MUL1",0.1246,10.3426,0.7865,0.4316,0.6016
"FAM43B",-0.7088,6.3547,-1.4902,0.1362,0.2776
"CDA",1.0154,7.7784,1.4713,0.1412,0.2844
"PINK1",0.4084,11.1513,2.2936,0.02182,0.0743
"DDOST",-0.0675,13.1509,-0.4655,0.6416,0.7718
"KIF17",0.4611,7.456,1.8115,0.07006,0.1731
"SH2D5",-1.3614,6.4708,-2.16,0.03077,0.09594
"HP1BP3",-0.1123,12.5858,-0.8551,0.3925,0.5655
"EIF4G3",-0.0194,11.3067,-0.1157,0.9079,0.9494
"ECE1",-1.354,13.0321,-4.5842,4.557e-06,9.328e-05
"NBPF3",0.2073,8.568,0.6826,0.4948,0.6569
"ALPL",-0.4478,11.0222,-1.0248,0.3055,0.4804
"RAP1GAP",1.618,10.4838,4.2906,1.782e-05,0.0002825
"USP48",-0.1121,10.9201,-0.907,0.3644,0.5389
"LDLRAD2",-0.7348,11.9475,-2.6806,0.007348,0.03269
"HSPG2",-0.6031,13.8654,-1.961,0.04987,0.1358
"CDC42",0.2991,13.0751,1.5318,0.1256,0.2634
"WNT4",-1.1683,8.2925,-2.8004,0.005104,0.02468
"ZBTB40",0.1036,10.2878,0.5018,0.6158,0.7527
"C1QA",0.1833,12.5397,0.5422,0.5877,0.7316
"C1QC",0.083,12.5457,0.2501,0.8025,0.884
"C1QB",0.0936,12.8486,0.2781,0.781,0.87
"EPHB2",-1.175,9.4578,-3.0636,0.002187,0.01319
"KDM1A",-0.252,11.5011,-1.4845,0.1377,0.2797
"LUZP1",-0.4206,10.675,-2.1124,0.03466,0.1046
"HTR1D",1.6717,6.6848,2.6882,0.007183,0.03218
"HNRNPR",-0.1387,12.1879,-1.1924,0.2331,0.4014
"ZNF436",-0.745,9.6833,-3.9114,9.175e-05,0.001083
"TCEA3",1.3139,10.1058,4.0234,5.737e-05,0.0007334
"ASAP3",0.0765,9.8602,0.2812,0.7785,0.8682
"E2F2",-0.3299,8.1299,-0.8857,0.3758,0.5505
"ID3",0.2909,10.9884,0.9692,0.3324,0.5074
"RPL11",0.2692,14.2922,1.4147,0.1572,0.3073
"ELOA",0.1264,11.5296,0.9843,0.325,0.5008
"PITHD1",-0.3109,10.5949,-2.0906,0.03656,0.1088
"LYPLA2",0.371,10.774,2.1657,0.03033,0.09495
"GALE",1.2547,10.5573,4.3086,1.643e-05,0.0002674
"HMGCL",0.4157,10.4209,2.9661,0.003016,0.01681
"FUCA1",1.3318,11.3147,4.6711,2.996e-06,6.5e-05
"CNR2",0.0823,6.3897,0.1358,0.892,0.9396
"PNRC2",0.2639,11.3124,1.6526,0.09842,0.2219
"SRSF10",0.1381,11.6204,1.2494,0.2115,0.3771
"MYOM3",0.5405,6.5817,1.0941,0.2739,0.4474
"IL22RA1",-0.0527,7.6338,-0.111,0.9116,0.9517
"IFNLR1",-0.4059,8.7685,-1.2447,0.2132,0.3793
"GRHL3",-3.168,7.6546,-6.2585,3.886e-10,3.09e-08
"STPG1",-0.1824,9.122,-0.8339,0.4043,0.576
"NIPAL3",0.5919,10.741,2.6233,0.008709,0.03708
"RCAN3",0.2766,10.275,1.4473,0.1478,0.294
"NCMAP",2.4067,8.5384,5.1333,2.847e-07,8.912e-06
"SRRM1",-0.0935,11.5688,-0.7077,0.4792,0.6428
"CLIC4",-0.2004,12.8172,-0.9381,0.3482,0.5234
"RUNX3",-1.6948,9.8045,-6.4345,1.239e-10,1.137e-08
"SYF2",0.2864,10.7,2.1505,0.03152,0.09763
"RHD",-0.5283,6.3907,-1.2611,0.2073,0.3725
"RSRP1",0.1436,10.3456,0.4914,0.6232,0.7584
"TMEM50A",0.1857,12.0901,1.1551,0.2481,0.4187
"RHCE",0.3488,7.3838,1.9863,0.047,0.1304
"TMEM57",0.1984,10.3515,1.2428,0.214,0.3799
"LDLRAP1",-0.5774,10.5176,-2.387,0.01698,0.06163
"MAN1C1",0.0164,9.1691,0.0499,0.9602,0.9783
"SELENON",-0.3446,12.4485,-1.5467,0.1219,0.258
"RP1-317E23.6",-0.1312,9.4971,-0.6939,0.4878,0.6506
"MTFR1L",0.461,10.5302,3.4349,0.0005928,0.004762
"AUNIP",-0.1581,8.5964,-1.0365,0.2999,0.4745
"PAQR7",-0.0206,9.6176,-0.0789,0.9371,0.9649
"STMN1",-0.0862,12.0327,-0.2515,0.8014,0.8832
"PAFAH2",1.0336,9.7065,5.8551,4.767e-09,2.585e-07
"EXTL1",0.2608,6.4905,0.7866,0.4315,0.6016
"PDIK1L",0.7432,9.2177,3.2169,0.001296,0.008783
"FAM110D",0.4414,7.1901,1.1821,0.2372,0.4064
"ZNF593",0.3946,9.2665,1.5668,0.1172,0.2508
"RP11-96L14.7",0.3966,9.2407,1.5787,0.1144,0.2462
"CNKSR1",0.2374,9.8993,1.1466,0.2516,0.4226
"CEP85",-0.056,9.5643,-0.2382,0.8117,0.8903
"SH3BGRL3",-0.6221,12.7515,-2.7181,0.006566,0.02996
"UBXN11",-0.1172,11.111,-0.5766,0.5642,0.713
"CD52",0.9941,10.4324,2.2212,0.02634,0.08533
"AIM1L",-0.4097,8.3934,-0.7609,0.4467,0.6149
"ZNF683",-0.6768,7.2675,-1.3426,0.1794,0.3371
"DHDDS",0.1462,10.284,1.3791,0.1679,0.3221
"HMGN2",-0.0173,12.1848,-0.0796,0.9365,0.9647
"RPS6KA1",-0.074,11.5184,-0.4365,0.6625,0.7869
"ARID1A",-0.1164,12.1181,-0.541,0.5885,0.7321
"PIGV",0.3396,9.4065,2.6954,0.007031,0.03163
"ZDHHC18",-0.2666,10.6792,-1.3555,0.1753,0.3315
"SFN",-1.3249,12.5398,-3.5621,0.0003678,0.003314
"GPN2",-0.0203,9.8001,-0.1714,0.8639,0.9227
"GPATCH3",0.1411,9.0693,1.1534,0.2488,0.4196
"NR0B2",3.0098,6.9523,4.8329,1.346e-06,3.309e-05
"NUDC",0.0228,11.5702,0.1374,0.8907,0.9388
"KDF1",0.2008,9.3663,1.3924,0.1638,0.3165
"TRNP1",1.6707,8.6245,4.4157,1.007e-05,0.0001801
"FAM46B",-0.2434,8.7192,-0.6414,0.5212,0.6785
"SLC9A1",-0.8297,11.2868,-3.0064,0.002644,0.01525
"WDTC1",0.1,11.5458,0.6243,0.5324,0.6877
"TMEM222",0.1033,10.3945,0.6829,0.4946,0.6567
"SYTL1",-0.3903,10.2999,-1.3093,0.1904,0.3515
"MAP3K6",-0.3912,10.6478,-1.4249,0.1542,0.3029
"FCN3",0.7575,9.2642,1.4403,0.1498,0.2965
"CD164L2",1.0065,7.221,1.8507,0.06421,0.1622
"GPR3",-0.3859,6.9516,-0.8872,0.3749,0.5497
"WASF2",-0.6108,12.7167,-3.0972,0.001953,0.01207
"AHDC1",-0.6874,10.3965,-2.6004,0.009312,0.03903
"FGR",-0.1066,9.7621,-0.313,0.7543,0.8523
"IFI6",0.3156,12.2388,0.6539,0.5132,0.672
"FAM76A",0.2936,9.0342,1.525,0.1273,0.2655
"STX12",0.3952,11.185,2.6912,0.007119,0.03199
"PPP1R8",0.0714,10.5481,0.5404,0.5889,0.7323
"THEMIS2",-0.1106,10.5803,-0.3472,0.7285,0.834
"RPA2",0.125,10.4439,0.7303,0.4652,0.6307
"SMPDL3B",1.7007,9.6146,4.416,1.005e-05,0.0001801
"XKR8",0.1944,8.7059,1.0617,0.2884,0.4622
"EYA3",-0.3813,10.0823,-2.7013,0.006906,0.03119
"PTAFR",-0.2513,10.2326,-0.7153,0.4744,0.6387
"DNAJC8",0.0766,11.2515,0.4681,0.6397,0.7705
"ATPIF1",0.511,11.0441,2.8281,0.004683,0.0231
"SESN2",0.047,9.5269,0.1703,0.8648,0.9233
"MED18",0.6844,8.9855,3.8122,0.0001377,0.00151
"PHACTR4",0.0183,10.817,0.1149,0.9086,0.9499
"RCC1",-0.0452,10.5982,-0.2359,0.8135,0.8913
"TRNAU1AP",0.5558,9.484,2.2731,0.02302,0.07727
"RAB42",0.8111,8.075,1.7811,0.07489,0.1815
"TAF12",0.164,9.5407,1.0482,0.2945,0.4684
"GMEB1",-0.0115,9.465,-0.0852,0.9321,0.963
"YTHDF2",0.1251,11.5493,1.0628,0.2879,0.4617
"OPRD1",0.8334,6.4584,1.9344,0.05307,0.142
"EPB41",0.5007,11.0627,2.4545,0.01411,0.0536
"TMEM200B",0.1075,8.9821,0.4851,0.6276,0.7614
"SRSF4",-0.2757,11.6428,-2.1206,0.03396,0.103
"MECR",0.4125,9.1973,3.3307,0.0008664,0.00646
"PTPRU",0.8043,11.0403,2.1122,0.03467,0.1046
"MATN1",0.2435,6.4974,0.8369,0.4026,0.5746
"LAPTM5",0.1388,13.1567,0.4543,0.6496,0.7785
"SDC3",0.0345,11.5934,0.1413,0.8876,0.9372
"PUM1",0.1631,11.8282,1.2954,0.1952,0.3573
"NKAIN1",0.6272,6.3882,0.9314,0.3517,0.5263
"SNRNP40",-0.1472,10.3704,-1.0014,0.3166,0.4923
"ZCCHC17",0.2785,10.108,1.5833,0.1134,0.2447
"FABP3",1.7636,8.365,3.8154,0.000136,0.001494
"SERINC2",-0.1625,11.7815,-0.3979,0.6907,0.8068
"TINAGL1",-1.8662,10.8146,-4.1857,2.843e-05,0.0004153
"HCRTR1",-0.3703,6.7059,-2.0148,0.04393,0.1243
"PEF1",-0.3044,11.3959,-2.3461,0.01897,0.067
"COL16A1",-1.5755,10.6525,-4.3859,1.155e-05,0.0001998
"ADGRB2",-0.4296,8.1995,-0.8999,0.3682,0.5427
"SPOCD1",-0.6426,8.1661,-1.5321,0.1255,0.2634
"PTP4A2",0.581,12.5658,3.5713,0.0003551,0.003218
"KHDRBS1",-0.1042,12.4837,-1.052,0.2928,0.4669
"TMEM39B",-0.5376,9.3291,-3.609,0.0003074,0.002887
"KPNA6",-0.0345,11.6897,-0.2434,0.8077,0.888
"TXLNA",-0.0532,11.6428,-0.3208,0.7484,0.8479
"CCDC28B",-0.4774,7.95,-1.2714,0.2036,0.3677
"IQCC",0.2931,7.8747,1.2641,0.2062,0.3711
"DCDC2B",1.3049,7.1828,2.6253,0.008657,0.03692
"TMEM234",0.0204,8.8692,0.0888,0.9293,0.9612
"EIF3I",-0.0467,12.4247,-0.2913,0.7708,0.8637
"FAM167B",0.2194,7.8036,0.7949,0.4267,0.5974
"LCK",-0.162,8.7998,-0.4487,0.6537,0.7811
"HDAC1",-0.5772,12.1165,-3.66,0.0002522,0.002442
"MARCKSL1",0.1494,11.912,0.4798,0.6313,0.7645
"FAM229A",-0.009,7.5168,-0.0325,0.9741,0.9857
"TSSK3",-0.0615,7.1193,-0.2227,0.8238,0.8972
"BSDC1",-0.0137,11.557,-0.0984,0.9217,0.9573
"RP1-27O5.3",0.1527,8.0033,0.8361,0.4031,0.5749
"ZBTB8A",0.176,8.9562,0.9911,0.3217,0.4975
"ZBTB8OS",0.2029,9.4245,1.1735,0.2406,0.4101
"RBBP4",0.1858,12.2896,1.2763,0.2018,0.3656
"SYNC",0.305,10.0264,1.8423,0.06543,0.1644
"KIAA1522",-0.2122,12.6404,-0.9696,0.3323,0.5073
"YARS",-0.1716,11.8057,-1.2479,0.2121,0.3778
"S100PBP",0.1466,9.8523,1.0552,0.2913,0.4655
"FNDC5",0.486,7.1479,1.2024,0.2292,0.3977
"HPCA",-0.1032,8.7749,-0.5122,0.6085,0.7469
"TMEM54",-0.1521,10.8917,-0.7333,0.4634,0.6292
"RNF19B",-0.3351,11.1178,-1.2657,0.2056,0.3704
"AK2",0.4202,11.7567,2.3422,0.01917,0.06754
"AZIN2",0.1865,7.9262,0.5548,0.579,0.7247
"TRIM62",-0.2477,8.6095,-1.256,0.2091,0.3745
"ZNF362",-0.2242,10.3891,-1.0819,0.2793,0.4531
"PHC2",0.5509,12.0106,2.7866,0.005327,0.02554
"ZSCAN20",0.2848,7.5112,1.2812,0.2001,0.3634
"CSMD2",-0.522,7.1096,-1.3705,0.1705,0.3254
"GJB5",-2.7992,7.8198,-4.2348,2.288e-05,0.0003475
"GJB4",-4.0174,7.0701,-5.9735,2.322e-09,1.388e-07
"GJB3",-1.7777,8.516,-3.0102,0.00261,0.0151
"GJA4",0.1,8.7241,0.3849,0.7003,0.814
"SMIM12",0.361,10.2241,2.0242,0.04295,0.1222
"DLGAP3",0.9515,6.5623,2.0438,0.04098,0.1181
"TMEM35B",0.4986,9.911,1.9823,0.04744,0.1313
"RP11-244H3.4",0.4649,10.2244,2.4381,0.01477,0.05551
"ZMYM6",0.3,9.651,2.2399,0.0251,0.08246
"ZMYM1",0.1622,8.8626,0.9599,0.3371,0.5117
"SFPQ",-0.127,13.0244,-0.9105,0.3626,0.5372
"ZMYM4",0.0563,11.1119,0.4035,0.6866,0.8034
"KIAA0319L",0.5981,11.7594,2.8529,0.004332,0.02186
"NCDN",-0.2728,10.1314,-1.3298,0.1836,0.3428
"TFAP2E",-0.2386,6.9267,-0.5814,0.561,0.7102
"PSMB2",-0.3116,11.8186,-2.1896,0.02856,0.09069
"C1orf216",-0.1058,9.2724,-0.5797,0.5621,0.7112
"CLSPN",-0.207,8.0648,-0.5473,0.5842,0.7286
"AGO4",0.1815,10.2374,1.0297,0.3032,0.4779
"AGO1",0.0384,10.9451,0.1914,0.8482,0.9137
"AGO3",0.0172,9.8344,0.0903,0.928,0.9604
"TEKT2",2.423,7.3342,3.6711,0.0002415,0.002353
"ADPRHL2",0.1035,10.2601,0.7131,0.4758,0.6396
"COL8A2",-0.8649,9.5639,-2.2803,0.02259,0.07622
"TRAPPC3",0.1534,10.8156,1.0322,0.302,0.4768
"MAP7D1",-0.375,11.7848,-2.388,0.01694,0.06158
"THRAP3",0.0334,12.2872,0.2646,0.7913,0.8765
