"gene","logFC","AveExpr","t","pvalue","padj"
"HOXA13",-2.229,6.4233,-2.741,0.006126,0.02844
"HIBADH",0.7331,10.5524,3.8993,9.646e-05,0.001129
"TAX1BP1",0.6198,12.6173,4.1851,2.85e-05,0.0004155
"JAZF1",0.05,9.3712,0.217,0.8282,0.9007
"CREB5",-0.8434,8.4991,-2.3877,0.01695,0.06158
"TRIL",-0.0307,8.6822,-0.0718,0.9427,0.9684
"CPVL",0.4651,10.202,1.2894,0.1973,0.3596
"CHN2",1.5668,8.5199,3.8733,0.0001074,0.001233
"PRR15",1.0757,8.2133,1.8747,0.06084,0.1562
"WIPF3",-0.6763,7.793,-1.331,0.1832,0.3423
"SCRN1",0.2708,11.3479,0.8746,0.3818,0.556
"FKBP14",-0.1797,9.5282,-0.8659,0.3865,0.5599
"PLEKHA8",0.3817,9.0643,1.6698,0.09496,0.2161
"MTURN",1.2766,10.1371,3.6741,0.0002387,0.002332
"ZNRF2",0.3393,9.9098,1.7296,0.08371,0.1967
"GS1-114I9.3",0.2371,8.4718,1.292,0.1964,0.3586
"NOD1",0.5689,9.8176,2.4391,0.01472,0.05539
"GGCT",-0.1628,10.5732,-0.9568,0.3386,0.5132
"RP4-777O23.3",-0.1966,9.5123,-1.2465,0.2126,0.3785
"GARS",-0.0325,11.8094,-0.193,0.847,0.913
"CRHR2",-0.2533,6.333,-0.5254,0.5993,0.74
"INMT",1.7174,10.1679,4.0057,6.182e-05,0.0007813
"INMT-MINDY4",0.8624,9.5589,3.6064,0.0003105,0.002909
"MINDY4",0.7383,9.1431,3.1653,0.001549,0.01006
"RP5-877J2.1",1.2795,11.2141,3.1619,0.001568,0.01015
"AQP1",1.2862,13.0618,2.9845,0.00284,0.01611
"ADCYAP1R1",-2.3273,6.9108,-3.9012,9.57e-05,0.001121
"PDE1C",0.6642,7.8984,1.6959,0.08991,0.2075
"LSM5",0.0205,10.0642,0.1126,0.9103,0.951
"AVL9",0.422,10.974,1.8371,0.06619,0.1658
"KBTBD2",0.1397,11.0838,0.8735,0.3824,0.5564
"FKBP9",-0.5017,12.5289,-2.6898,0.007149,0.03208
"NT5C3A",0.4422,9.7829,2.4813,0.01309,0.05076
"RP9",-0.0063,8.4753,-0.0362,0.9711,0.9841
"BBS9",0.6661,9.1895,2.8468,0.004417,0.02214
"BMPER",-0.2539,7.9924,-0.4369,0.6622,0.7869
"DPY19L1",0.8235,11.0682,3.2808,0.001035,0.007378
"HERPUD2",0.2653,10.4416,2.1495,0.0316,0.09783
"SEPT7",0.1683,12.3621,1.1437,0.2527,0.4238
"EEPD1",-0.8343,8.8969,-3.1163,0.001832,0.01144
"KIAA0895",0.9241,8.9604,3.6779,0.0002351,0.002311
"ANLN",-0.0482,9.8698,-0.1218,0.903,0.9469
"AOAH",-1.4359,9.0279,-3.7419,0.0001826,0.001888
"ELMO1",0.1715,10.0518,0.485,0.6277,0.7614
"GPR141",0.1562,6.6856,0.4366,0.6624,0.7869
"NME8",0.4378,6.2576,0.9931,0.3207,0.4964
"EPDR1",1.3533,10.3481,4.3918,1.124e-05,0.0001957
"SFRP4",0.0602,10.1995,0.1246,0.9009,0.9458
"STARD3NL",0.6219,10.4665,2.9672,0.003005,0.01677
"AMPH",0.458,6.919,1.2171,0.2236,0.3906
"VPS41",0.4133,11.1846,2.5254,0.01156,0.04596
"POU6F2",-0.5482,7.2174,-0.7787,0.4361,0.6056
"YAE1D1",0.5117,8.638,2.1907,0.02847,0.09053
"RALA",-0.1043,11.3994,-0.5699,0.5688,0.7166
