"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-E2-A1IU-01A","TCGA-A7-A26I-01B","TCGA-A8-A07S-01A","TCGA-A1-A0SK-01A","TCGA-AC-A6IV-01A","TCGA-AR-A2LN-01A","TCGA-A7-A26I-01A","TCGA-AO-A0JM-01A","TCGA-EW-A1J3-01A","TCGA-E2-A14N-01A","TCGA-E9-A54X-01A","TCGA-E2-A15L-01A","TCGA-BH-A28Q-01A","TCGA-A2-A0D0-01A","TCGA-B6-A0I5-01A","TCGA-A2-A0YL-01A","TCGA-AC-A3QQ-01B","TCGA-A2-A0D4-01A","TCGA-A8-A07I-01A","TCGA-A1-A0SH-01A"
"SAMD11",7.9727,8.3609,9.8593,8.5038,8.256,8.79,7.7796,9.7187,8.0331,8.2089,8.0415,7.8377,7.8333,8.8144,8.1797,7.6516,8.0076,7.9057,8.1606,8.261,8.2416,7.9329,7.8578,10.6454,8.4795,8.8632,8.3968,11.4356,8.9508,11.0416,10.1797,9.5478,8.7363,11.3905,11.211,8.3896,7.1822,10.0233,8.9744,8.5759
"NOC2L",10.8197,11.2318,11.7239,10.8074,10.8961,11.7435,10.7018,11.9264,10.7254,10.988,11.1508,10.4411,10.5906,10.6792,10.4359,10.5718,10.5898,10.6388,10.3065,10.4166,11.1204,10.5853,10.9443,12.6415,10.6063,10.9421,11.2745,11.7634,10.6606,12.8708,12.0104,11.4071,11.1709,13.2786,12.6951,10.9562,8.5195,12.4277,11.8849,10.6116
"KLHL17",7.4763,7.3335,8.0576,7.5299,7.2578,6.8556,7.8018,7.5872,7.1956,7.2853,7.5053,7.4044,7.1616,6.7118,7.2074,6.6775,6.7146,7.2849,6.9417,7.5919,7.5068,7.8242,7.278,8.6895,8.677,8.0848,7.0148,7.5721,7.7664,8.8944,8.1173,7.7135,7.8339,8.4747,7.4928,7.5337,6.8592,7.9144,7.9756,6.8641
"PLEKHN1",7.1175,7.0277,8.2527,7.3219,6.8913,8.0021,7.3287,8.2766,7.0662,6.962,6.9536,6.7412,6.6417,5.3445,6.6294,6.4989,6.2192,6.7966,6.2657,6.9349,7.2918,7.5386,6.9664,5.8625,6.8616,7.276,7.4079,7.9759,7.2857,8.1899,7.8841,7.4025,7.3273,8.0009,8.4415,7.5723,6.2671,7.2265,7.7172,7.0025
"PERM1",6.6106,6.82,7.7668,6.4887,6.3257,13.0122,6.8395,7.301,6.2703,6.304,6.0562,6.1793,5.9035,5.3445,6.1301,6.0742,5.7657,6.4347,5.7447,6.3939,6.6016,6.7904,6.1412,5.5118,6.2744,6.7086,6.3588,7.3464,6.9682,8.0733,7.3777,6.586,6.3963,7.474,8.0883,6.6677,6.6305,6.8542,7.0511,6.4532
"HES4",7.4625,7.3254,8.8442,6.9761,7.6484,6.7219,8.1066,7.8356,7.3135,7.3257,7.4131,6.8865,6.3144,6.6478,7.2252,6.4382,6.3889,6.7473,6.7136,6.8345,7.13,6.3831,6.4776,6.1986,7.9302,7.5762,7.0906,8.9462,6.819,8.1076,8.089,7.1506,6.8518,7.4375,8.1761,7.5272,5.328,7.758,8.2893,7.0156
"ISG15",9.0261,8.447,9.4859,8.4474,7.8005,8.1327,7.7852,8.7414,9.0145,9.9336,7.8977,7.1703,7.9096,9.4355,9.0437,6.7276,8.0699,7.1627,8.2891,8.919,10.2553,9.7122,11.1318,7.1789,11.1337,9.7502,11.2673,12.8779,9.5268,12.8741,9.79,8.2362,8.4572,12.6915,10.1416,10.1688,6.3494,10.2764,13.2813,8.8311
"AGRN",13.2216,12.5524,13.4777,12.5944,13.0248,10.2696,12.9602,13.8236,12.7353,12.5241,12.2324,12.6338,11.8108,10.5652,12.474,12.2212,11.1146,12.5971,11.7073,12.1754,12.2615,12.4659,11.6873,12.5568,12.8279,12.8634,12.7651,13.4292,12.494,12.4637,13.5126,12.5543,12.8154,13.7779,12.9663,12.9178,10.3818,13.1069,14.0639,12.7951
"RNF223",6.1053,6.7086,8.3189,6.3594,6.3761,4.7831,6.3023,7.8638,5.8976,6.6021,6.3475,5.8439,6.2592,4.7831,6.5421,6.1965,5.9313,6.5868,5.4104,6.1947,6.8259,5.978,6.9774,6.0204,6.6239,6.8319,6.0814,7.4064,6.7602,6.1779,7.577,5.8079,6.7465,6.5307,8.5008,6.8754,5.7161,9.7842,7.4324,5.9476
"C1orf159",8.231,8.4793,9.4841,8.2222,8.2194,7.0053,8.5083,8.8232,8.2633,8.2174,8.4056,8.2048,7.8774,7.2626,7.9206,7.7975,7.4794,8.0426,7.9206,8.0868,8.2974,9.1573,7.5877,9.5229,8.7014,8.6051,8.4172,8.0984,8.7766,9.6564,9.3887,8.2052,8.4986,9.7456,8.608,8.4856,7.9931,9.4872,8.9133,7.8802
"TTLL10",5.7338,6.0747,5.9397,6.3421,5.7434,5.8056,6.0037,5.8854,5.9493,6.0875,6.1477,5.9451,5.9035,6.7426,6.3094,5.6781,6.0722,5.9561,6.5105,5.975,5.3447,7.1251,5.3642,5.7398,5.6919,6.0288,5.6204,5.0521,5.1819,5.3482,5.9919,5.2344,5.3987,5.6302,5.4528,5.2784,4.7831,6.0437,5.4327,4.7831
"TNFRSF18",6.4553,6.5127,8.2009,6.4577,6.3761,5.2078,6.3023,6.7982,6.9228,6.5881,6.232,6.0366,5.8486,6.2178,5.8582,6.1166,6.5541,6.385,5.9506,6.5198,8.0272,6.4306,7.4645,7.4845,7.8499,7.6801,6.5502,8.3375,6.9682,6.3181,7.3697,8.7172,8.1363,9.9559,10.2138,7.7672,5.328,9.0855,6.879,6.098
"TNFRSF4",6.1053,6.5574,7.2421,6.5629,6.471,7.2142,6.1926,6.9041,6.7739,6.5881,6.5332,6.2707,5.9555,7.1449,6.917,5.83,5.9611,6.2409,6.6659,6.9023,6.4568,6.5626,6.0013,6.7046,7.8771,6.7594,6.8983,7.5113,6.3536,6.6751,5.9668,6.4937,6.3465,6.6374,6.7613,6.6295,5.5492,7.0876,7.1645,6.6755
"SDF4",11.5158,11.707,12.5825,11.632,11.8646,11.4778,11.4193,12.3483,11.7162,11.7507,12.0044,11.1001,11.2258,12.1333,11.3989,11.0925,11.5262,11.2004,11.7123,11.4639,11.9197,10.8188,12.0024,11.4512,12.0234,11.9595,11.5351,12.0929,10.8446,12.0544,12.4562,12.088,11.4926,12.5147,12.0093,11.4543,9.3964,12.1813,11.8795,12.0373
"B3GALT6",9.6265,9.4318,10.8471,9.3552,9.6377,8.7742,9.4384,10.3872,9.5735,9.5437,9.1768,9.1569,9.1845,9.4311,9.3281,9.2507,9.1057,9.6835,9.2579,9.3452,9.5084,8.6366,9.7752,10.4565,9.832,9.6965,9.3506,9.7637,9.8437,10.7648,10.834,9.7708,9.7776,10.4027,11.4738,9.801,9.4467,9.7107,9.2396,9.7731
"C1QTNF12",5.4832,5.6944,6.5109,5.5409,5.803,5.7197,6.2304,5.7673,5.6547,5.7829,5.7149,5.6666,5.2942,5.8859,5.5519,5.6083,5.5104,5.5855,5.4692,5.723,5.8038,5.5276,5.5586,6.0445,5.846,5.9039,5.5786,5.4888,5.7054,5.8242,5.7688,5.5152,5.6115,5.8668,6.3346,5.6987,5.328,5.5583,5.1603,5.8446
"UBE2J2",10.0667,10.1768,11.1363,9.9805,9.9277,10.449,9.9626,10.7946,10.0534,10.0042,9.9499,9.7964,9.9513,10.3867,9.9961,9.6763,9.8311,9.9807,10.1243,9.6644,10.3014,10.2424,10.1605,11.1462,10.1102,10.0904,10.5919,10.3018,10.0752,11.4774,10.8906,10.3386,10.2086,11.1121,10.7013,10.2756,9.4384,10.9209,10.285,10.0664
"SCNN1D",7.4132,7.3731,7.7668,7.0271,6.8584,6.4901,7.6814,6.8813,6.9336,7.2521,7.235,7.7058,7.3167,6.1939,6.4641,7.0799,6.5368,7.0383,6.3319,7.3858,7.2675,8.1149,6.6007,6.5636,8.4688,8.1218,6.8737,6.2009,7.345,6.8137,8.4193,7.4796,7.5379,6.5673,7.7291,6.8099,6.8058,6.7851,7.1645,6.4532
"ACAP3",9.5019,9.9572,10.4385,9.7537,9.4929,10.4215,9.874,9.9266,9.7519,9.5169,10.3292,9.606,9.1824,9.361,9.5328,9.0288,9.1712,9.5818,9.373,9.7187,9.8762,10.3319,9.815,9.8962,10.413,9.9973,9.6071,10.1911,9.8651,10.7577,10.7817,9.631,10.035,8.9103,10.8456,9.485,8.9961,10.4023,10.2314,9.494
"PUSL1",7.9189,8.1126,9.5161,8.0383,7.9276,8.1696,8.1066,9.1311,7.9692,7.9898,8.5003,7.8533,7.8389,7.9497,8.2236,7.7639,7.8419,8.0523,7.9078,8.1143,8.6115,8.3335,8.5451,9.8166,8.0546,8.3763,8.6993,8.747,8.61,10.098,9.0528,8.4126,8.4109,9.9527,10.3905,8.6835,6.1783,9.1799,8.6892,8.0916
"INTS11",11.156,11.3188,11.8793,11.0185,11.0361,11.7616,11.0934,11.6453,10.9435,11.0809,11.2408,11.1252,11.0192,10.7285,10.7607,10.9894,10.6895,11.0686,10.5842,10.8868,11.339,11.0267,11.2614,11.8935,11.1981,11.4193,10.9298,11.064,11.1861,11.5645,11.5128,11.3147,11.1747,12.0056,12.024,10.9868,9.5267,11.4936,11.3359,10.6147
"CPTP",9.7115,9.6611,10.7742,9.5509,9.6604,11.8609,9.5587,10.3968,9.5202,9.3073,9.7124,9.0669,8.8127,9.4682,9.4489,8.8945,9.003,9.6958,9.307,9.2884,9.6937,8.7334,9.1028,9.7699,9.4711,9.7011,9.75,9.6578,9.2687,10.4299,10.6741,9.1566,9.4447,10.995,10.9863,9.7008,7.0533,10.2562,9.6536,9.7527
"TAS1R3",6.2587,6.9443,6.3451,6.2518,6.1983,6.8556,5.881,6.2321,5.7541,5.7206,6.1907,6.235,5.8486,5.5721,5.8582,5.6083,6.1961,6.2787,5.6196,6.1123,6.0981,7.6343,5.4688,5.8033,6.0713,7.9878,6.0568,6.6182,6.7751,5.7101,6.6164,6.9104,6.2943,6.3504,9.5828,5.9448,6.9599,5.9883,6.3341,6.4734
"DVL1",10.3331,10.649,11.2943,10.3948,10.2127,13.4731,10.5255,11,10.0709,10.4347,10.4643,9.8929,9.7582,10.2879,9.9066,9.6673,9.9462,10.1176,9.8091,9.798,10.6703,10.2602,9.8551,11.0992,10.4564,10.8584,10.3549,10.2389,9.6404,11.0306,11.4475,10.6067,10.5554,12.1435,11.4385,10.2113,7.4079,10.786,10.158,10.2386
"MXRA8",11.4677,11.6224,12.7402,11.7983,11.5577,10.9298,11.7491,11.5558,11.9732,12.4179,11.7451,11.4692,11.9169,13.1382,11.7892,10.9519,12.0967,11.3561,12.6687,11.9472,10.9404,11.6951,10.8284,10.5969,12.9362,12.5932,11.9922,13.0823,11.353,9.2139,9.2852,12.687,11.4798,8.7443,12.4213,12.9543,10.4157,10.1056,12.2257,13.4693
"AURKAIP1",10.0567,10.3985,11.9922,10.1903,10.1826,11.8535,10.0998,11.4301,10.1266,10.1359,10.4379,9.3724,9.451,10.7348,9.7925,9.3037,9.706,9.7064,10.0223,9.6766,10.8045,8.9316,10.5598,11.2433,10.5124,10.2929,10.1701,10.9334,9.0695,11.5538,11.6519,10.5873,10.1023,12.1387,12.1367,10.1282,7.1406,11.2177,10.1981,10.3413
"CCNL2",11.7137,11.7635,11.6827,11.6604,11.5242,10.5026,12.1131,11.0648,11.907,11.5612,11.8853,11.8577,11.7271,10.4003,11.1729,11.5608,10.9969,11.4862,10.9228,11.9427,10.9242,12.8256,11.0405,11.3523,11.7458,11.6248,11.3503,10.0108,12.382,12.0916,12.3943,11.4085,11.2822,11.0027,11.6593,11.1096,11.2962,11.3863,10.7958,10.033
"MRPL20",10.4485,10.7358,11.64,10.5198,10.5152,12.0624,10.3962,11.4558,10.4471,10.4587,10.663,10.314,10.4882,11.4586,10.8236,10.3432,10.6958,10.5372,11.0391,10.5829,11.1138,9.9164,11.2518,11.3923,10.3729,10.6333,10.994,10.9656,10.6263,12.8286,11.385,11.1474,10.7029,11.9911,11.6055,10.663,8.6108,11.3753,10.4992,10.3804
"ANKRD65",9.9425,8.8078,10.4696,8.9608,8.9848,7.5919,9.5131,9.5076,9.4434,9.2815,9.2062,9.0288,8.9365,9.2551,8.3036,8.0129,8.6707,9.4952,8.7475,8.8392,7.625,7.0702,8.3044,9.7624,8.7373,8.6115,7.3827,6.9522,7.0787,7.5871,5.4634,6.2842,7.49,6.3285,8.4615,8.5441,7.2998,6.4253,7.0935,8.3014
"VWA1",11.0809,10.8604,12.4391,10.7044,10.467,9.462,10.6967,12.2075,11.3759,10.7239,10.7368,10.1278,10.1684,10.7276,10.5627,9.7572,9.8214,10.4498,10.6784,10.8097,11.684,12.0182,11.5599,9.347,11.3783,11.4762,11.9378,11.8709,10.2868,11.9002,13.3291,12.0985,11.6186,13.5922,13.1037,11.1117,8.8035,11.5198,10.6073,11.8489
"ATAD3C",8.1655,7.8283,9.7048,8.3354,8.1476,6.0232,8.5574,9.0679,7.9642,8.275,8.0864,8.1301,7.7761,7.0035,7.8148,7.6015,7.7545,8.6025,7.5832,8.2894,10.0159,10.2124,8.4987,8.9792,7.421,8.7176,8.2812,6.4009,6.8045,8.4564,7.2087,8.8223,9.2551,7.7804,9.4418,7.7672,8.8291,10.1998,6.4261,6.3905
"ATAD3B",8.9116,9.139,9.862,8.9278,8.4989,7.9029,9.1221,9.0583,8.9197,8.9926,9.3202,9.006,8.7554,8.0806,8.5267,8.2326,7.9605,8.5117,7.6698,8.7892,8.6758,11.2651,8.3002,9.9218,9.2374,9.0053,9.2748,8.3925,8.5782,11.122,8.5526,8.7601,8.713,10.9522,9.3777,8.435,8.299,9.2249,8.6316,7.5193
"ATAD3A",9.0933,9.4172,10.3616,9.0554,9.0758,9.8407,9.0847,10.4995,9.1193,9.2203,9.5153,8.7925,8.7612,8.9564,8.7497,8.5091,8.5923,8.9251,8.6479,8.6212,9.4966,9.8318,9.2542,10.9177,9.254,9.0912,9.9774,9.9713,8.1121,11.1351,10.5857,9.3495,9.391,11.5374,10.1056,9.1098,6.6305,9.9904,10.0794,9.2881
"TMEM240",6.1847,6.1399,6.8234,5.9985,6.3083,6.1455,6.2847,6.362,6.2886,6.1713,6.0071,5.9208,6.0966,6.2867,5.9137,5.6781,6.0182,6.2215,5.7825,5.8437,5.4909,5.8249,5.4688,5.9181,6.6645,6.1608,5.6204,5.7008,5.0655,5.7878,6.2918,5.8079,5.6115,5.9957,5.8083,5.7597,5.7161,5.6042,5.7979,6.6585
"SSU72",11.506,11.6888,12.3512,11.5467,11.5402,12.8141,11.4632,12.2064,11.5049,11.5961,11.6136,11.3153,11.6418,12.288,11.745,11.3722,11.8072,11.756,12.1017,11.4209,11.5059,11.6077,12.0005,12.3604,11.5698,11.5786,11.9663,11.4286,11.3629,14.0803,12.2088,11.3507,11.4279,13.1797,12.7729,11.4884,11.1219,11.777,11.8498,11.3272
"FNDC10",7.9679,7.8672,8.8637,6.8565,7.7148,5.9561,8.1966,9.8551,7.7637,7.7478,8.0466,7.3458,7.25,7.1997,8.2705,7.7864,8.1027,8.2408,7.927,7.9144,7.7105,6.6433,9.2648,9.2735,8.2417,8.0225,6.6724,8.3841,7.9278,11.2106,10.405,8.8651,9.8175,11.6183,10.9454,8.4756,6.8058,7.3053,8.8102,8.5928
"MIB2",9.7285,9.8777,10.6255,9.5805,9.4827,11.5162,9.9806,10.0381,9.593,9.5421,9.7935,9.2706,8.9026,8.8709,8.8084,8.7716,8.667,9.124,8.5893,9.0825,8.9427,9.7207,8.4355,10.4657,9.9419,9.7385,8.9874,8.7176,7.5259,8.658,10.0005,9.1147,8.935,9.9094,8.2645,8.5216,7.9231,9.4371,9.4281,9.0896
"MMP23B",5.7338,5.8768,6.6565,6.1116,6.3761,5.8839,6.1333,6.8464,6.3591,6.5158,6.0562,5.9208,6.0744,7.4264,7.1429,5.7725,6.1482,5.8771,7.1244,6.8913,5.4909,5.3932,5.4688,5.5118,6.8954,7.0478,5.6601,5.5811,5.5732,5.3482,5.3595,6.0501,6.1421,5.4185,6.1775,6.3049,4.7831,5.2614,5.6172,7.1036
"CDK11B",10.4789,10.5038,10.9197,10.4776,10.3608,11.2967,10.3065,10.8519,10.5496,10.5335,10.6175,10.0203,10.243,10.5244,9.9501,10.3082,10.3978,10.0737,10.0614,9.9521,10.3014,10.0415,10.5864,11.0621,10.577,10.5849,10.2125,10.6433,9.7509,10.7693,10.5882,10.394,10.2988,11.0551,11.0551,10.0422,9.0835,11.0752,10.8735,10.2702
"SLC35E2B",12.1243,12.1001,11.2897,11.8924,12.0266,11.3347,11.2661,11.7337,11.9305,12.0796,11.6722,11.5196,11.2163,10.7736,11.4779,12.2097,12.1237,11.8482,11.8154,11.5308,11.9452,12.1422,12.5249,12.545,11.5394,11.8583,11.515,11.2074,11.9757,11.4064,12.516,11.8501,11.8357,11.145,11.7742,12.239,11.3031,12.6407,11.7766,11.5008
"CDK11A",9.6128,10.0706,10.3771,9.9718,9.6694,10.1857,9.8454,9.9822,9.9221,9.8911,10.0505,9.0801,9.7784,9.5334,9.3019,9.7028,9.5613,9.3729,9.4094,9.5689,9.5513,9.8159,9.6043,10.3041,10.0417,10.1725,9.2681,9.3509,9.2982,10.2678,10.1918,9.6716,9.8053,10.1435,10.1706,9.5063,8.9031,10.1682,9.9528,9.409
"SLC35E2",9.033,8.8022,7.2936,8.6261,9.0849,8.4449,8.7158,7.8859,8.8264,8.5462,8.5718,8.1087,8.2644,7.1671,8.1617,8.7435,8.7757,8.7243,8.4646,8.3789,8.4526,9.3017,8.7632,9.4264,8.2542,8.678,8.1939,7.0969,8.1721,7.7493,7.873,8.4544,8.9174,7.2383,7.551,8.9026,8.4387,8.7683,7.9919,8.1152
"NADK",10.7115,11.4307,11.3631,11.1722,10.8031,9.6934,10.7432,11.2275,11.1648,11.2701,11.1203,10.5563,10.8858,11.7919,11.0169,10.5654,11.5332,10.6498,11.9789,10.9142,11.297,10.9153,11.2789,10.9709,11.1943,10.944,11.0496,10.7929,10.4842,11.9014,11.2073,10.9628,10.9598,11.3394,11.6072,10.7153,9.0513,11.7058,11.0049,10.4862
"GNB1",13.4062,13.3894,13.3039,13.5031,13.6001,12.641,13.2202,13.5328,13.3919,13.5672,13.4052,13.3148,13.5171,13.8851,13.6453,13.3657,13.7005,13.522,13.9751,13.4883,13.7678,13.8448,13.8818,15.1995,13.4538,13.3493,14.461,13.7245,13.8492,14.7001,14.0528,13.8442,13.5892,14.2356,13.7016,13.6926,13.1649,13.9758,14.2185,13.7826
"CALML6",5.3386,5.8768,5.9397,5.6894,5.4903,11.3063,6.0264,5.8283,5.453,6.0429,5.7489,5.8703,5.6232,5.1813,5.0421,5.644,5.7285,5.6237,5.2705,5.6554,5.6457,6.1102,6.0967,5.0432,6.2558,6.6825,5.4353,5.6231,5.5732,6.0167,5.7366,6.0013,5.834,5.6747,6.0584,5.1342,5.328,5.5583,5.2444,5.3596
"TMEM52",6.1654,6.3846,6.2523,6.0899,5.8855,12.6869,6.1926,6.5995,5.4041,6.1302,5.8433,6.2167,6.0744,5.8524,6.1082,5.8575,6.2641,6.3679,6.2882,6.046,6.2184,5.6397,7.1601,5.4656,6.0018,5.5024,6.432,7.0757,5.745,8.0905,6.4812,6.2649,6.2943,7.5444,7.8869,6.1597,5.328,5.3987,5.6944,5.4266
"GABRD",5.4832,6.1608,6.1721,5.4984,5.6094,5.6236,5.3419,6.3794,5.6187,6.0198,5.422,5.633,5.6232,5.8524,5.6675,5.3436,5.3354,5.2945,5.4692,5.8437,7.2344,7.0979,7.4721,6.8788,7.5769,6.8666,7.2585,7.4064,6.5825,5.4139,6.9838,7.7135,6.7826,6.1622,7.8869,6.7758,5.5492,7.0649,6.6512,7.054
"PRKCZ",9.6798,9.2979,10.2106,9.2277,9.7803,6.8556,9.6427,10.2882,9.0265,8.9926,9.2952,9.3866,8.9971,6.7273,8.9002,9.3732,8.667,9.4308,8.1766,8.8116,9.6878,8.128,9.5285,9.3086,9.1952,9.4945,8.1309,9.9278,9.1363,10.4826,10.6567,9.649,9.7452,10.7369,10.3576,9.8351,7.3728,9.901,9.932,8.7397
"FAAP20",9.9855,10.0071,11.5918,9.802,9.9138,9.1497,9.9818,10.8337,9.6685,9.6278,9.7281,9.6815,9.2398,9.3234,9.852,9.2286,9.347,9.8905,9.7677,9.7276,10.2937,9.4381,10.0152,10.1081,10.2922,10.1648,9.1709,10.2401,9.5817,11.099,11.5172,10.2339,10.2594,11.3604,10.9204,10.359,8.299,10.3727,9.5894,9.8997
"SKI",12.2963,12.2254,11.6254,12.2995,12.0292,11.4067,12.0644,11.9977,12.2213,12.2413,12.274,12.3428,12.24,12.1145,12.0365,11.8938,12.0937,12.2828,12.6254,11.7763,11.1297,12.091,11.0085,11.5181,12.1206,11.9017,12.1792,11.491,11.7005,12.1586,10.834,11.4309,11.7036,12.5367,11.5089,11.9564,11.9048,11.0691,11.8275,12.2714
"MORN1",8.4252,8.2316,8.7929,8.1752,8.2759,6.7219,8.5671,8.3014,8.0897,8.2174,8.3374,8.3212,8.0218,6.7426,7.6877,8.1004,7.6687,8.0523,7.3346,7.7769,8.7713,9.2071,8.5591,8.2378,7.7994,9.1679,7.3131,8.1086,8.4567,7.9525,8.9154,8.5591,8.5222,7.5949,8.7651,8.3094,8.8035,8.4175,8.1264,7.3679
"RER1",11.784,11.8014,12.4101,11.6531,11.94,12.1672,11.6843,12.1674,11.6991,11.7109,12.2319,11.5892,11.6887,12.2911,11.8394,11.4845,12.0671,11.6942,12.0662,11.92,12.7296,11.5427,12.154,12.4938,11.7271,11.8948,11.9851,12.0628,12.1332,13.1528,12.5459,12.1384,11.8249,12.4397,12.5559,11.8422,10.9236,12.4344,12.0182,11.752
"PEX10",10.6791,10.6638,11.6283,10.5215,10.7254,11.1147,10.6996,11.3761,10.4364,10.5625,11.7226,10.4954,10.5082,11.0598,10.6242,10.2752,10.6387,10.7098,10.8781,10.8256,11.5783,10.038,10.5864,11.3908,10.5746,10.8399,10.3273,11.0903,10.37,11.1296,11.3564,10.6333,10.7298,11.1825,11.2074,10.5533,9.4549,10.9926,10.5656,10.4031
"PLCH2",10.0169,10.6847,10.3251,9.7667,8.6798,4.7831,9.6637,9.4409,9.6913,9.5253,10.0788,10.3233,10.1011,5.4685,9.8254,9.3454,8.0754,9.7109,7.5586,9.4036,7.1117,7.3245,7.9247,8.3136,8.0354,8.9113,6.4841,7.1688,6.745,5.8242,8.5833,7.1216,6.863,5.7168,8.5762,8.2905,7.2617,6.0437,6.147,7.1396
"PANK4",9.1236,9.1809,9.5929,9.1617,9.1204,11.4371,8.9927,9.5527,9.1237,9.241,9.3987,9.1527,8.9797,9.2451,8.8702,8.7965,9.0759,8.9199,9.0913,8.8823,9.445,9.0179,9.0371,10.2949,9.3417,9.5974,8.6416,8.6184,8.504,8.7794,9.2369,9.2818,9.1619,9.1585,8.9355,9.1748,8.2806,9.6841,9.9207,8.8832
"TNFRSF14",10.5945,10.8114,11.5066,10.6111,10.4019,8.3625,10.5271,10.9295,10.8907,10.5039,10.4389,10.689,10.4208,10.5347,10.5327,10.2595,9.8898,10.521,10.2336,10.9756,10.1422,9.4433,10.2187,8.1394,11.1107,10.8072,8.4492,9.3143,9.8083,9.3504,10.7699,10.2328,10.0978,10.1531,10.606,10.3527,9.3793,10.7943,9.6755,9.1304
"FAM213B",10.179,10.1088,11.0806,10.1282,10.3938,7.8275,10.0125,11.2403,10.3115,10.033,9.5994,9.8422,9.5868,9.5022,9.9835,9.7959,9.5554,10.0189,9.6921,9.7639,11.2676,7.6887,11.2475,11.1021,10.1571,10.6109,8.0387,10.8961,10.3642,10.0434,11.599,10.8813,10.7891,11.0299,12.2354,10.8698,10.1839,11.8893,9.9882,9.7657
"MMEL1",8.239,7.9777,9.5248,8.0761,8.4117,6.1455,8.1545,9.185,8.1035,7.9947,7.6797,7.8324,7.4993,7.4264,7.8825,7.6454,7.5128,8.0713,7.5751,7.5984,9.0458,6.1705,8.7901,8.7691,8.3732,8.8741,6.1966,9.6595,8.28,7.2861,9.6368,8.8735,8.7477,8.6139,10.0849,8.91,6.4982,9.9284,7.2319,7.9673
"TTC34",6.7,7.0675,6.7491,6.8565,6.1788,4.7831,7.1905,6.8464,6.5911,6.6021,6.5174,7.6469,6.8999,5.4098,6.8242,7.1077,5.7285,7.6427,6.582,6.5923,6.1398,6.9834,6.4776,5.555,6.3287,7.2927,5.3171,5.3189,6.435,5.4139,6.3643,6.3761,6.505,5.0691,6.3099,6.4782,7.7172,6.5344,5.377,5.7284
"PRDM16",7.3318,6.9867,6.6287,7.564,7.2329,7.0875,6.5797,6.5556,7.7868,7.5663,6.7345,8.0055,7.6478,7.613,7.6228,6.8997,7.5694,7.7833,8.1057,7.3935,6.2184,5.978,5.8381,10.8209,7.4134,6.9762,5.6204,6.0855,5.8873,5.4139,6.751,5.8957,6.0117,6.0823,5.8083,6.4334,7.0074,5.8341,6.3341,6.5127
"ARHGEF16",8.593,8.8794,10.091,8.9583,9.1313,6.2017,9.1112,10.1529,8.2551,9.0264,9.4335,8.6754,8.5067,6.6145,8.3598,8.5553,7.8288,8.5494,7.7222,8.6495,10.0241,9.2844,9.8193,10.1902,8.8479,9.7835,9.1685,9.2835,8.9631,9.2346,10.6204,10.044,9.6523,10.2019,10.059,8.91,7.5712,10.1175,9.9555,8.3812
"MEGF6",9.637,10.0374,10.4867,10.3372,9.5926,8.8814,9.8649,9.7233,10.1007,10.2975,10.3557,10.0607,9.7712,9.6193,9.9898,9.3677,8.667,9.3166,9.5668,10.0186,9.1289,10.3036,7.9989,9.8366,10.6451,10.9819,9.8857,9.3657,8.002,6.5733,7.9903,9.3615,9.7984,11.0727,8.539,10.2331,7.7447,7.0063,10.1388,10.296
"TPRG1L",11.5308,11.4165,11.8759,11.5169,11.3393,12.1709,11.2685,11.527,11.3801,11.4884,11.6693,11.4788,11.6216,12.0051,11.5069,11.2232,11.7203,11.5197,11.8571,11.4272,10.9027,10.6696,11.4549,10.3235,10.7595,11.0888,11.3867,10.7428,10.6243,11.821,11.5246,11.1341,10.7363,11.24,11.2416,11.2207,9.7092,11.2963,11.073,10.9473
"WRAP73",9.0284,9.1141,9.7753,8.9683,9.1027,9.2155,9.0577,9.3116,8.9629,9.214,9.0677,8.8933,9.0834,9.0107,8.8867,8.7147,8.92,8.7569,8.9249,9.094,9.3245,9.3688,9.074,10.6184,9.3571,9.2365,9.2881,8.801,9.39,9.8361,10.034,8.8707,9.505,10.2631,9.3698,9.064,8.1441,9.5035,9.3919,8.6135
"TP73",8.7063,8.4027,8.4539,7.8488,7.6422,5.9561,8.6896,8.2084,8.4755,8.4708,8.2787,8.4796,7.9921,5.9494,7.809,8.3976,7.1672,8.2658,6.7136,7.8933,7.554,7.2285,9.1995,11.3665,7.7291,8.1579,5.6979,7.3464,8.562,6.0733,8.6965,8.1506,7.5312,8.6417,8.8434,7.9086,7.8989,8.3145,9.1291,6.6585
