"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-E2-A1IU-01A","TCGA-A7-A26I-01B","TCGA-A8-A07S-01A","TCGA-A1-A0SK-01A","TCGA-AC-A6IV-01A","TCGA-AR-A2LN-01A","TCGA-A7-A26I-01A","TCGA-AO-A0JM-01A","TCGA-EW-A1J3-01A","TCGA-E2-A14N-01A","TCGA-E9-A54X-01A","TCGA-E2-A15L-01A","TCGA-BH-A28Q-01A","TCGA-A2-A0D0-01A","TCGA-B6-A0I5-01A","TCGA-A2-A0YL-01A","TCGA-AC-A3QQ-01B","TCGA-A2-A0D4-01A","TCGA-A8-A07I-01A","TCGA-A1-A0SH-01A"
"CAPS",9.1575,8.9854,10.7514,9.0436,8.8721,7.1898,8.9566,10.8372,9.1393,8.7825,8.8866,9.0129,8.4353,7.589,8.3239,8.5357,8.2121,8.6879,7.9891,8.9522,8.9151,9.2492,8.4279,10.6969,10.909,9.0441,8.3719,8.2439,9.346,8.6503,11.7048,9.3455,10.0594,11.981,12.6614,8.5631,9.2053,10.412,8.2264,8.4336
"RANBP3",10.7714,10.8378,11.3747,10.7934,10.6645,11.0459,10.557,11.2211,10.7047,10.8107,10.7682,10.7139,10.6938,10.6558,10.6635,10.5742,10.463,10.7818,10.5469,10.6095,10.9546,10.4857,10.9654,11.3918,11.132,10.8212,10.1569,10.4055,10.2893,10.9058,11.047,10.842,10.8394,11.1866,11.2074,10.5974,11.0371,10.9671,11.2628,10.9811
"ACSBG2",5.9004,5.9807,5.4626,5.6894,5.5719,4.7831,6.1128,5.6667,5.9238,5.7829,5.7489,6.0145,6.2401,5.3445,5.6309,6.1371,5.8686,5.8771,5.4104,5.6193,5.446,7.4142,5.2344,5.9447,5.725,5.6944,5.5341,5.5365,6.2432,6.0167,5.2308,5.3642,5.5342,5.2769,5.209,5.7597,6.8058,5.4565,5.6567,5.4266
"RFX2",8.8865,9.3835,9.2865,8.9019,8.264,7.6807,9.0279,8.9992,8.9528,8.643,9.314,9.9657,9.5636,10.3417,9.0558,8.7292,8.6779,8.9483,8.5283,8.7136,7.6376,8.6726,7.3292,8.6086,8.4437,8.2527,8.0281,9.1772,8.9965,8.1188,8.6934,7.4945,8.2822,8.1308,9.2939,8.5849,9.8712,9.0498,8.9018,8.7014
"MLLT1",11.2868,11.3049,11.4696,11.3013,11.1513,11.4863,11.1787,11.5554,11.1412,11.3724,11.2848,11.2362,11.1749,11.0179,10.995,10.7795,11.0458,11.0988,11.2967,10.95,11.1868,10.3375,11.1714,12.1301,11.5019,11.3882,10.8069,10.7991,10.9641,11.7061,11.3252,11.1861,11.5407,11.251,11.2953,11.5141,10.7646,11.2084,11.7332,11.7646
"CLPP",9.5183,9.5957,10.9091,9.5641,9.5461,11.2462,9.5164,10.5945,9.4613,9.3383,9.7155,9.1917,9.1247,10.0194,9.6701,9.0473,9.4539,9.4235,9.9454,9.3794,10.06,8.2284,10.1673,10.8548,10.1249,9.6782,9.6812,9.9518,9.2285,10.6799,10.767,10.2076,10.194,10.9734,11.3964,9.8403,8.6826,10.2048,9.8676,10.2306
"ALKBH7",9.7299,9.3722,11.4133,9.2236,9.8702,11.3926,9.8162,10.8379,9.3849,9.0664,9.2017,9.0469,8.7986,9.6289,9.5467,8.8129,8.9412,9.5383,9.4362,9.1934,9.5691,7.5777,9.2922,9.2943,9.862,9.5153,8.5743,9.5602,8.448,9.1225,10.5083,9.4427,9.9694,10.1169,10.2742,9.9697,6.4982,9.19,8.6488,10.0513
"PSPN",7.49,7.2159,7.6285,7.222,7.2413,6.6115,7.1732,7.7656,7.3533,7.3097,7.0611,6.9978,7.3248,6.9266,7.2074,7.3271,7.1672,6.9976,7.0781,7.3626,7.2998,7.4983,7.2428,7.6646,7.2953,7.5352,6.7012,6.7625,6.9423,7.169,8.4381,6.9882,7.7381,6.7512,8.1075,7.3676,6.9105,6.827,7.677,7.1036
"GTF2F1",11.5243,11.3763,12.2005,11.1937,11.3932,10.3778,11.4499,12.0101,11.2227,11.3831,11.2138,10.9372,11.1508,11.0534,10.8703,11.0975,10.9693,11.2285,10.4981,10.6535,11.6357,9.4536,12.0103,11.8942,11.4797,11.4597,10.256,11.521,10.8119,11.3347,11.8532,11.1065,11.2684,11.3911,12.3553,11.3349,10.1439,11.2034,11.634,11.6291
"KHSRP",12.0331,11.904,11.9704,11.7369,11.9569,12.0079,11.9646,12.2431,11.8834,11.8545,11.8765,11.6676,11.7197,11.5154,11.6447,11.6398,11.645,11.8372,11.3918,11.3215,11.635,11.6886,11.9515,13.5292,11.9865,11.8085,11.9501,11.6932,11.5609,12.9325,11.8487,11.8011,11.9293,13.2036,12.2487,12.0149,12.3817,11.9592,12.305,12.373
"SLC25A23",11.1518,10.6615,10.9621,10.9827,10.6682,12.8978,10.7537,10.8379,10.5768,10.7594,10.9379,10.8718,10.8548,11.0171,10.5029,10.8712,11.1271,11.1176,11.5127,10.6932,10.6643,10.2365,10.9436,9.8702,10.443,10.3759,10.2915,10.6223,11.2892,12.1331,11.5505,10.6626,11.1778,11.7043,11.6892,10.5805,11.9648,10.5379,10.8508,11.4385
"CRB3",8.1529,8.1218,9.1708,8.0992,8.6467,5.2078,8.4505,8.9324,7.7402,7.694,8.5294,7.8891,7.5414,5.0651,7.8881,8.0411,7.383,8.1041,7.2336,7.9909,9.0801,7.7411,8.9012,8.7869,8.4365,8.6051,8.7611,8.734,8.2948,8.758,9.8329,8.573,8.9964,8.6179,9.4618,8.7429,6.75,8.2381,9.2006,9.0384
"DENND1C",8.9041,8.9954,8.6655,8.6759,9.1335,6.2017,9.2125,9.2892,8.8098,8.5227,9.075,8.6192,8.2849,7.3128,8.0389,8.8868,8.1401,8.8962,7.6545,8.456,9.3915,8.8556,9.4817,9.3107,9.933,8.9425,8.1554,8.7885,8.1232,8.627,9.4359,8.7662,8.7013,10.0401,9.1133,8.3825,9.0513,8.5652,10.3131,9.0137
"TUBB4A",6.7,7.1345,7.674,6.7862,6.6407,6.8869,6.3862,7.7415,6.6595,6.9514,6.9424,6.8215,6.5858,7.4445,6.9718,6.3238,6.1724,7.6167,7.5336,7.008,6.1993,7.6708,6.5252,9.1737,7.8107,6.4974,8.465,7.6862,6.6501,7.5455,6.7637,5.9759,6.5909,8.9394,7.9807,6.3049,6.6917,6.6815,7.1244,6.7575
"TNFSF9",5.3386,6.3148,6.5712,5.5409,5.5323,6.7219,5.6059,5.5512,5.7541,6.643,5.9556,5.8703,6.1604,8.7087,6.4801,5.3436,6.0182,5.6599,6.374,6.4427,5.446,6.1705,5.6382,6.1353,6.0018,6.5574,6.432,7.519,6.5293,6.4027,5.2308,6.1192,5.7762,6.9254,6.4942,5.3361,6.2671,5.3346,6.0269,6.7733
"TNFSF14",6.6238,7.0176,6.5564,7.1959,6.7421,5.5135,6.2847,6.1504,8.0804,6.8065,6.2718,6.753,6.8999,7.5728,6.848,6.9419,7.5929,6.8785,6.9153,7.3858,6.5021,6.7904,5.6751,5.0432,7.4059,6.9443,5.8338,6.2009,6.1957,6.1269,5.4137,5.2344,6.2764,7.079,6.9375,6.4334,9.2995,5.4565,6.8542,6.098
"C3",14.1921,14.9893,14.6901,15.5021,13.7597,12.5404,13.2386,13.1853,15.8893,14.9111,14.5237,14.5272,14.7788,15.4747,15.2393,13.9845,15.2769,14.6467,15.9993,15.4768,13.5985,12.7949,12.4168,9.1071,15.2823,15.1368,11.2069,13.1062,11.7123,13.5702,9.664,11.7689,14.6197,15.1859,14.1415,13.6487,13.7438,10.3447,13.1854,14.9688
"GPR108",10.9308,10.8522,11.6784,10.9503,11.139,9.7946,10.8052,11.5558,10.6646,10.8991,11.1664,10.7431,10.9141,11.1723,10.7993,10.8892,10.9192,10.919,11.1594,10.9935,11.0889,9.5337,11.4474,10.4249,10.8382,10.6969,10.1265,10.5831,10.4398,11.5455,11.217,10.7218,11.0874,10.2451,11.5606,10.4353,9.6317,10.6399,10.9016,11.1125
"TRIP10",10.4148,10.8114,11.4481,10.7715,10.1476,13.4722,10.3863,10.4278,10.6942,10.8536,11.0177,10.51,10.6011,11.534,10.5231,10.1321,10.7727,10.1874,10.6756,10.5714,9.9335,10.4501,9.6343,7.2511,10.959,10.8523,10.322,10.232,9.0781,10.5877,9.7606,10.0514,10.5366,11.3587,10.8775,10.1739,9.3879,9.7107,10.0513,10.1635
"SH2D3A",8.9435,9.4909,10.1074,8.9733,8.7181,6.5723,9.2918,9.5731,8.7237,8.4953,9.1791,9.3066,8.892,6.1186,8.7467,8.7632,7.8155,9.4917,7.4908,8.7519,9.1091,8.5904,8.4393,7.3848,9.1249,9.5494,8.2313,8.5716,8.0896,8.8515,9.5416,8.3454,9.4037,9.6356,9.5365,9.1076,8.5506,8.5297,8.9217,8.7916
"VAV1",7.7882,8.7055,8.8016,8.7533,8.0489,6.7567,7.9377,8.1908,8.613,8.3305,7.8346,7.8324,7.8555,9.3423,8.1481,7.9694,8.8024,7.8234,9.0194,8.8004,8.309,9.0659,7.9729,7.0218,9.7774,9.2026,8.3635,7.8416,7.2237,7.52,8.0405,7.1601,8.209,8.2805,8.3531,8.2867,7.9231,10.0345,8.358,8.533
"ADGRE1",5.9498,5.7595,6.2129,6.1739,5.803,5.6236,5.6059,6.5406,6.2516,5.9472,6.0798,5.8439,5.9299,6.5451,6.8714,6.2344,6.4276,5.7279,6.7136,6.3602,6.7555,6.858,5.7766,5.1504,6.4931,6.5127,6.6578,7.0431,6.3107,6.9519,5.1491,6.0501,6.1822,7.8714,7.0384,6.2164,7.6315,5.7271,6.1694,6.893
"ZNF557",8.7205,8.4433,8.3706,8.4794,8.7152,8.4349,9.1286,7.8914,8.6725,8.7568,8.3619,8.8832,8.7288,8.509,8.8894,8.9098,8.5296,8.9483,8.5814,8.9597,8.6546,9.5579,8.7632,8.9188,8.2165,8.7266,8.3466,8.1584,8.679,9.2087,8.2763,8.5661,8.8551,8.1697,8.3901,8.9961,10.2885,8.2033,9.2328,8.443
"INSR",12.2256,12.3924,10.8547,11.8855,12.1482,12.5322,12.154,11.7992,11.8844,11.7234,11.5782,11.7482,11.7163,11.221,11.9408,12.1543,12.3729,12.4552,11.6722,11.3044,11.8537,12.6008,11.8739,11.9716,11.6272,12.6402,11.559,10.8917,12.2687,11.7171,11.3524,12.2968,12.2096,10.9153,12.7883,12.176,12.6015,11.4533,11.2788,11.4597
"ARHGEF18",10.3533,10.481,10.6812,10.3902,10.6585,9.2155,10.4149,10.3445,10.4364,10.4266,10.3707,10.1969,10.0221,9.8482,9.9199,10.0859,10.2556,10.2673,10.1009,9.9943,10.7124,10.5569,10.249,10.7788,11.0575,10.9012,10.3166,9.8246,9.7998,10.4108,10.4843,10.3018,10.7363,10.4583,10.2924,10.5611,10.149,10.2835,10.8567,10.9077
"CTD-2207O23.3",10.1964,10.3364,10.5281,10.2478,10.5202,9.0744,10.2708,10.2135,10.2828,10.2985,10.2316,10.0629,9.8902,9.7149,9.7632,9.9647,10.1323,10.1221,9.967,9.8665,10.5895,10.3922,10.1258,10.6364,10.9084,10.7484,10.1785,9.7315,9.6986,10.3122,10.345,10.1718,10.5892,10.34,10.2138,10.4129,10.0112,10.1631,10.7046,10.7645
"PEX11G",7.5169,7.2333,8.7517,7.4736,7.7148,6.4901,7.7852,8.5452,7.2642,7.2436,7.6665,6.9584,6.9437,7.3803,7.3112,7.0323,6.8836,7.4571,7.2018,6.9876,8.3206,6.6433,7.6287,6.2584,7.7588,7.549,6.6724,7.6794,7.1021,6.2502,8.5799,8.0041,7.5446,6.7197,8.218,7.2919,6.4982,6.7417,6.6658,8.2491
"C19orf45",5.7639,5.5853,5.8578,5.5409,5.7434,4.7831,6.0264,5.5512,5.6187,5.8124,5.5189,5.6666,6.0047,5.0651,5.5089,5.6083,5.5104,5.6946,5.2705,5.4988,5.5725,5.6397,6.6579,8.2507,5.725,5.9558,5.6979,5.3189,6.8614,5.5271,7.2616,6.1192,6.1623,5.9334,7.3244,6.2526,8.0379,5.3987,5.5312,5.4266
"CTD-2207O23.12",9.1617,9.1457,9.4011,9.0948,9.0134,10.6371,8.9856,9.5527,8.7587,9.241,8.8119,9.0424,8.7168,9.5001,9.0655,8.9423,9.2116,9.3007,9.2529,8.8823,8.6208,8.5328,9.0395,9.498,9.0954,8.9755,9.009,8.3288,8.2297,9.5594,8.8884,8.7046,9.1006,9.6316,8.8472,9.0773,8.6255,8.2233,8.5239,9.2932
"ZNF358",10.6878,10.7247,11.9087,10.7081,10.6032,12.3126,10.7439,11.3996,10.571,10.6509,10.3687,10.5197,10.317,11.2049,10.8349,10.206,10.585,10.9287,11.1263,10.5026,10.0112,9.2433,10.283,11.1376,10.8259,10.4363,10.6245,10.2447,10.0864,11.7947,11.1216,10.2523,10.6057,11.6963,11.4252,10.8533,9.8276,9.8715,9.8735,10.9954
"MCOLN1",8.9338,9.7399,10.1144,9.6238,8.8695,9.957,9.2899,9.7248,9.4016,9.7161,9.5296,9.0779,9.3503,10.4973,9.4562,8.9765,9.7427,9.1217,10.5489,9.8691,9.1548,8.9682,9.4595,9.196,10.2226,9.3569,9.4207,9.8904,9.4081,9.6773,9.0009,9.2754,9.4019,8.8905,9.7643,9.4174,8.5351,9.6661,9.6313,9.4828
"CTD-2207O23.10",7.7882,8.206,8.2611,7.9945,7.8334,8.7582,7.8236,8.164,7.9642,8.0898,7.9527,7.6884,7.7165,8.2914,7.694,7.7235,7.8484,7.7178,8.3749,8.0681,7.606,7.6343,7.7875,7.9567,8.3346,8.2978,8.0804,7.6655,7.1698,7.375,7.3455,7.9355,8.242,7.2275,7.5415,7.9576,7.4422,7.5501,8.0659,8.0121
"PNPLA6",10.5323,10.7172,11.3029,10.5583,10.4348,11.6592,10.5106,11.3151,10.673,10.5756,10.5139,10.1623,10.2357,10.6921,10.2628,10.2693,10.1635,10.347,10.5621,10.7631,10.3101,10.636,10.5052,10.7876,11.2108,11.0097,10.6615,10.061,9.7059,10.0507,10.589,10.6913,10.8461,10.6332,10.7148,10.6164,9.0184,9.9991,10.7919,10.7261
